כותב	k o ˈd̪ e v
תיירותי	t a j a ʁ u ˈt i
שד	ʃ a d
אדם	ʔ a ˈd a m
רווק	ʁ a ˈv a k
עשב	ˈʔ e s e v
נהג	n a ˈh a ɡ
נתפס	n i t ˈf a s
שלושה	ʃ a . l o ˈʃ ɔ
פסח	p a ˈs a χ
ויסקי	ˈv i s k i
אברהם	ʔ a v r ɔ ˈh ɔ m
שלמה	ˈʃ l o . m o
שמן	ʃ a ˈm a n
קומזיץ	ˈk u m z i t͡s
את	e ɪ s
נהג	n ɔ . h a ɡ
פושט	p ɔ ˈʃ ɛ t
שומר	ʃ o ˈm e r
יריעה	j e ʁ i ˈʕ a
קטל	ˈk e . t e l
אנוכי	ʔ a ˈn a . k i
הקשיב	h i k ˈʃ i v
חבש	ħ ɔ ˈv a ʃ
הומו	ˈh o m o
אגרוף	e ɡ ˈʁ o f
זן	z a n
לתפור	l i t ˈp o r
חבר	ħ a ˈb e r
ויקיפדיה	w i . k i ˈp e d . j a
זהב	z a ˈh a v
רכב	ˈr ɛ χ ɛ v
אדישות	a d i ˈʃ u t
אהובה	ʔ a h u ˈv a
נבוכדנאצר	n ə ˌb u . χ a ð . n ɛ sˤ ˈsˤ a r
מטר	m a ˈt a ʁ
זיעה	z e ˈʕ a
עצם	ˈʕ æ s æ m
זבל	ˈz e . v e l
פופאי	ˈp o p a j
שנקל	ˈʃ n ɛ k ɛ l
גדול	ɡ a ˈd ɔ l
רגל	ˈʁ ɛ ɡ ɛ l
אויב	ʔ ø ˈj e v
תורה	t o ˈr a
דברים	d a v ɔ ˈr i m
רומנית	ʁ ɔ m a ˈn i t
ווק	w o k
יער	ˈj a ʔ a ʁ
עוף	o f
רקע	ˈr e . k a
גם	ɡ a m
שכלול	ʃ i χ ˈl u l
כתיבה	k æ θ i ˈv ɔ
בדולח	ˈb d o l a χ
עין	ˈa j i n
קש	k a ʃ
חבר	χ a ˈv e ʁ
טלית	t a l ˈl i θ
אדום	ɔ ˈð ø m
שריר	ʃ ʁ i ʁ
להגמר	l e h i ɡ a m e ʁ
אם	ˈʔ e m
הועיל	h o ˈʔ i l
בית	b e t
חו״ל	χ u l
חכם	χ a ˈχ a m
בן	b e n
שונא	ɬ o ˈn i ʔ u
דוד	d ø ð
הסתיר	h i s ˈt i ʁ
אורי	ˈu . ʁ i
כנף	k a ˈn a f
אהוב	ʔ a ˈh u v
כתיבה	k s i . v ɔ
יוחנן	j ø . ħ ɔ ˈn ɔ n
חנ״ג	x a ˈn a ɡ
שיקר	ʃ i ˈk e ʁ
תרועות	t ʁ u ˈʔ o t
מוח	ˈm o . a χ
רציתי	ʁ a ˈt s i t i
קול	k o j l
אויב	ʔ o ˈj i b u
כרה	k a ˈʁ a
שמע	ʃ a ˈm a
לספר	l ə . s a ˈp e ʁ
עוגה	ʕ u ˈɡ a
יובל	j u ˈv a l
בשר	b a ˈs a r
תשדיר	t a ʃ ˈd i ʁ
נשב	n a ˈʃ a v
הפרעה	h a f r a ˈʔ a
ר״מ	r a m
חבש	x ɔ . v a ʃ
תא	t a
שנא	s a ˈn e ʔ
כוח	ˈk o . a χ
אויב	ʔ e ˈj e v
לינוק	l i n o k
לבב	l e ˈv ɔ v
טלית	ˈt a l ə s
מימון	m a j ˈm o n
זן	z a n
הפגין	h i f ˈɡ i n
עצם	ˈʕ e t s e m
יוסף	j o ˈs e f
הורדוס	ˈh o r d o s
עזה	a . z ɔ
תרועה	t a r u ʕ ɔ
פלשתינה	p a l e s ˈt i n a
נהג	n a ˈh a ɡ
אוכל	ˈʔ o χ e l
שק	s a k
גמל	d͡ʒ ɔ m ɔ l
את	e t
בחור	b a ˈħ u r
אדם	ʔ a ˈd a m
יובל	j o ˈv e l
עלמה	a l ˈm a
שש	ʃ e ʃ
רוקה	r a w . w a ˈq a
דג	d ɔ ɣ
אמד	ʔ a m a d
אליך	ʔ e ˈl e . χ a
מתודה	m e t ˈo d a
יוכבד	j o ˈχ e v e d
עולם	ʕ o ˈl a m
חבר	ħ ɔ ˈv e r
כאילו	k e ˈʔ i . l u
כיוון	k i ˈv u n
צייר	t s i ˈj ɛ ʁ
אחרי	a . χ a ˈʁ e
כור	k o r
מנוחה	m e . n u ˈχ a
איך	ʔ e χ
חמישה	ħ a . m i . ʃ a h
רוק	ʁ o k
ארבע	ʔ a r . b a ʕ
לשון	l ɔ ˈʃ o n
אבוב	ʔ a ˈb u v
פעם	ˈp a . ʔ a m
בקבוק	b a k ˈb u k
תועבה	t o ʔ e ˈv a
כרע	k a ˈʁ a ʕ
סיוט	s i ˈu t
סקרנות	s a k ʁ a ˈn u t
רוק	ʁ o k
כולם	k u ˈl a m
מחשבון	m a χ ʃ e v o n ˈi m
גלידה	ɡ l i ˈd a
יהודי	j æ . h u ˈð i
כרית	k a ˈʁ i t
אחות	a ˈχ ɔ t
קרא	k a ˈr a ʔ
תאום	t e ˈʔ o m
אזמל	ʔ i z ˈm e l
התפשט	h i t p a ˈʃ e t
נהג	n ɔ ˈh æ ɣ
השפעה	h æ ʃ . p ɔ ˈʕ ɔ
בין	b e n
שבור	ʃ v u ʁ
אמן	ʔ ɔ ˈm e n
רבקה	r i v ˈɡ ɔ
ממש	ˈm a m ə ʃ
כתיתה	k t i . t a
עש	a ʃ
יונה	j o ˈn a
כותב	k o ˈt̪ e v
מאות	m e ˈʔ o t
לו	l u
ידע	j ɔ ˈd a
אוכל	ˈʔ u k a l
צמח	ˈsˤ e . m æ ħ
בחייך	b e ˈχ a j ɛ χ a
ציון	sˤ i . ˈj o n
גנב	ɡ a ˈn a β
חטף	χ a ˈt a f
חשוב	ħ a ˈʃ u v
אלה	ˈe . l e
עמורה	ʁ ɑ m o r ɑ
הודו	h o ˈð u
עוגות	u ˈɡ o t
תפוח	t a ˈp u a χ
קדשנו	k i ˈd a ʃ n u
אברהם	ʔ a b r a ˈh a m
כדורעף	k a d u ˈʁ a f
פי	p i
הייתה	h a j ˈt a
בני	b n e
צמח	ˈsˤ ɛ . m a ħ
ספרדית	s f a ʁ a ˈd i t
יצחק	j i t͡s ˈχ a k
אויב	o ɪ̯ . j e ɪ̯ v
מזיק	m a ˈz i k
ראש	ʁ ɔ ʃ
לקק	l i ˈk e k
לה	l a
אבהות	ʔ a b a ˈh u t
נאט״ו	ˈn e . t o
צפון	sˤ a . ˈɸ o n
עת	ʕ e θ
רץ	ʁ a t͡s
איבד	ʔ i ˈb e d
דוד	d o ð
ילד	ˈj e . l e d
צימוקים	s i . m u . ˈk i m
שקל	ʃ a ˈk a l
את	ɛ s
כולה	k u ˈl a
לא	l o
שאלה	ʃ e ʔ e ˈl a
תרועה	t ə r u ˈʕ a
אבהי	ʔ a v a ˈh i
אבן	ˈe v e n
לקנות	l i k ˈn ɔ t
ירושלים	j ə r u ʃ ɔ ˈl a j i m
אורי	o ˈʁ i
צימוקים	s i . m u . ˈq i m
אדוני	a d o ˈn a j
עזה	ɣ ɑ ˈz ɑ
פלשת	ˈp l e ʃ e t
תרועות	t ə r u ˈʕ o θ
עצם	ˈe t s e m
אפשר	e f ˈʃ a ʁ
פרסית	p a ʁ ˈs i t
תרועות	t a r u ʕ œ θ
רצח	ʁ a ˈt͡s a χ
הר	h a ʁ
בבלי	b a v ˈl i
אין	e n
פיסח	p i ˈs e a χ
חנוכה	χ a . n u ˈk a
על	ʕ a l
יון	j a v a n
סוס	s u s
אוקיינוס	ʔ o k j a n o s
הפעם	h a p a ʔ a m
אות	ʔ o t
מיכאל	m i ˈχ a . ʔ e l
ידע	ˈj e d̪ a ʕ
מאתיים	m a ˈt a . j i m
ורונה	v e ˈr o n a
חמש	ħ a . m e ʃ
עמ׳	ʔ m ˈu d
אדוני	a ð o ˈn ɔ j
סיפק	s i ˈp ɛ k
חדר	χ a ˈd a ʁ
גרש	ɡ e ʁ e ʃ
גנב	d ʒ ɔ ˈn æ v
אביב	a ˈv i v
פישט	p i ˈʃ ɛ t
אברהם	a v r a ˈh a m
הועיל	h o ˈʕ i l
טראומה	ˈt ʁ a w . m a
אויב	ʔ o ˈj e b
אגם	ʔ a ˈɣ a m
דיו	ˈd i j o
רמונים	ʁ i m ɔ n i m
שלושה	ʃ ə . l o ˈʃ a
תבע	t a ˈv a ʕ
שבע	ˈʃ e . v a
זיוה	ˈz i v a
כור	k u r
מיכה	m i ˈx a
אבד	ʔ i ˈv e d
שומר	ʃ u ˈm a ʁ
על	a l
אל	ʔ e l
כיוון	k i ˈv e n
עוף	u f
אפילו	a f i ˈl u
עמ׳	ʕ m ˈu d i m
לכתוב	l i χ ˈt ɔ v
הוא	h u
קל	k a l
אהל	ˈo . h e l
חבל	χ a ˈv a l
ורד	ˈv ɛ ʁ ɛ d
דרקון	d a ʁ ˈk o n
קניון	k a n ˈj o n
אקונומיקה	e . k o ˈn o . m i . k a
שידור	ʃ i ˈd u ʁ
הארץ	h ɔ ˈɔ r e t͡s
וכו׳	v ə ˈχ u . l u
במהירות	b e . m e . h i ˈʁ u t
חשוב	ħ ɔ ˈʃ u v
אות	ʔ o θ
כרוב	ˈk ʁ u v
בשל	b ə ˈʃ e l
תרועות	t e r u ˈʕ o t
גזל	ɡ a ˈz a l
ובכן	u v ˈχ ɛ n
נעמי	ˈn o . m i
צייר	t s a ˈj a ʁ
חתול	χ a ˈt u l
כן	k e n
ישראל	j i s . r ɔ ˈʔ e l
מחר	m ɑ ħ ɑ r
נהג	n ɔ ˈh a ɣ
שומר	ʃ ø ˈm e r
דוב	d o v
שערה	s e . ʔ a ˈʁ a
פין	p i n
שונא	s o ˈn e ʔ
מחרתיים	m o χ . ʁ o ˈt a . j i m
אסתר	e s ˈt e ʁ
יה	j a h
עברית	i v . r i s
שמואל	ʃ ə m u ˈʔ e l
אחת	æ ˈħ æ θ
שמעון	ˈʃ i m o n
נער	n a ˈʕ a r
שומר	ʃ o ˈm i r u
רבקה	r i b ˈq a
ה־	h a
להקה	l a h a ˈk a
תפילה	t f i ˈl a
את	e t
בנה	b a ˈn a
שחיטה	ʃ ə ħ i tˤ a
לגמרי	l e ˈɡ a m . r e
דימם	d i ˈm ɛ m
דוד	d o d
שונא	s o ˈn e ʔ
שקר	ˈʃ æ ɡ æ r
לחיים	l e χ a ˈj i m
אבוד	ʔ a v u ˈd a
עולם	ʕ ø ˈl ɔ m
קולני	k o l a ˈn i
תשואה	t e s u ˈa
ציפורה	t s i ˈp o . ʁ a
נזיר	n a ˈz i r
עפרונות	ʔ e f ʁ o ˈn o t
אבוי	ʔ a ˈv o i
חרא	χ a ˈʁ a
שבת	ˈʃ a b ɔ s
חבש	χ a ˈv a ʃ
יד	j a d
